Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Pair
2024-05-17,260.0799865722656,260.0799865722656,256.2799987792969,257.25,253.3512420654297,1419700,FDX,CHRW-FDX
2024-05-20,256.989990234375,257.4100036621094,254.07000732421875,254.7100067138672,250.84974670410156,899400,FDX,CHRW-FDX
2024-05-21,254.0,254.8000030517578,250.92999267578125,252.3300018310547,248.50579833984375,1027200,FDX,CHRW-FDX
2024-05-22,252.0,252.66000366210938,249.7899932861328,252.07000732421875,248.249755859375,1766000,FDX,CHRW-FDX
2024-05-23,251.5500030517578,252.14999389648438,246.89999389648438,249.2899932861328,245.51187133789062,1446500,FDX,CHRW-FDX
2024-05-24,250.0,250.88999938964844,246.30999755859375,247.58999633789062,243.837646484375,1096000,FDX,CHRW-FDX
2024-05-28,247.1999969482422,249.42999267578125,246.7100067138672,248.0399932861328,244.28082275390625,1229800,FDX,CHRW-FDX
2024-05-29,245.83999633789062,247.02999877929688,244.30999755859375,245.11000061035156,241.39524841308594,1108000,FDX,CHRW-FDX
2024-05-30,246.14999389648438,249.6999969482422,245.50999450683594,249.5800018310547,245.7974853515625,1084300,FDX,CHRW-FDX
2024-05-31,250.0,254.3300018310547,248.1199951171875,253.9600067138672,250.11109924316406,1746900,FDX,CHRW-FDX
2024-06-03,253.3800048828125,253.99000549316406,246.7100067138672,248.6199951171875,244.85202026367188,1409800,FDX,CHRW-FDX
2024-06-04,248.0,248.3300018310547,244.25999450683594,245.9499969482422,242.22250366210938,1253600,FDX,CHRW-FDX
2024-06-05,247.89999389648438,248.33999633789062,244.47000122070312,248.0500030517578,244.29066467285156,930200,FDX,CHRW-FDX
2024-06-06,248.0500030517578,251.2899932861328,247.30999755859375,250.27000427246094,246.47703552246094,1171200,FDX,CHRW-FDX
2024-06-07,247.9600067138672,251.3699951171875,247.14999389648438,247.72999572753906,243.97552490234375,1281900,FDX,CHRW-FDX
2024-06-10,247.0,254.2100067138672,245.9199981689453,253.72000122070312,249.874755859375,1475300,FDX,CHRW-FDX
2024-06-11,252.16000366210938,252.58999633789062,249.89999389648438,252.42999267578125,248.6042938232422,1176900,FDX,CHRW-FDX
2024-06-12,253.3800048828125,254.3000030517578,248.1300048828125,248.60000610351562,244.8323516845703,1555900,FDX,CHRW-FDX
2024-06-13,249.13999938964844,249.5,244.25999450683594,248.60000610351562,244.8323516845703,1015600,FDX,CHRW-FDX
2024-06-14,246.5500030517578,247.91000366210938,242.9199981689453,246.42999267578125,242.69522094726562,1245800,FDX,CHRW-FDX
2024-06-17,245.5399932861328,250.47000122070312,244.85000610351562,250.05999755859375,246.2702178955078,1252200,FDX,CHRW-FDX
2024-06-18,250.1999969482422,252.41000366210938,247.60000610351562,248.08999633789062,244.33006286621094,1506100,FDX,CHRW-FDX
2024-06-20,248.75999450683594,253.35000610351562,248.47000122070312,252.52000427246094,248.6929473876953,1488600,FDX,CHRW-FDX
2024-06-21,252.97999572753906,255.88999938964844,251.61000061035156,253.66000366210938,249.81565856933594,3145200,FDX,CHRW-FDX
2024-06-24,253.97999572753906,257.30999755859375,253.13999938964844,256.510009765625,254.0043487548828,1897200,FDX,CHRW-FDX
2024-06-25,256.1499938964844,256.79998779296875,252.60000610351562,256.3800048828125,253.8756103515625,6313700,FDX,CHRW-FDX
2024-06-26,288.42999267578125,296.8599853515625,284.0,296.19000244140625,293.2967224121094,11126100,FDX,CHRW-FDX
2024-06-27,293.1199951171875,295.8500061035156,288.4100036621094,295.4700012207031,292.5837707519531,3989200,FDX,CHRW-FDX
2024-06-28,293.8999938964844,302.4100036621094,293.44000244140625,299.8399963378906,296.91107177734375,4278900,FDX,CHRW-FDX
