Date,Open,High,Low,Close,Adj Close,Volume
2023-08-31,189.83999633789062,189.9600067138672,186.74000549316406,187.8800048828125,185.67349243164062,1002000
2023-09-01,189.22000122070312,192.4600067138672,187.11000061035156,191.72999572753906,189.47828674316406,685100
2023-09-05,191.0,191.10000610351562,186.97999572753906,187.11000061035156,184.9125518798828,772800
2023-09-06,187.3300018310547,188.24000549316406,184.27999877929688,185.5800018310547,183.4005126953125,958600
2023-09-07,185.94000244140625,187.52000427246094,182.60000610351562,186.05999755859375,183.87486267089844,575100
2023-09-08,186.25,186.25,183.8000030517578,184.6300048828125,182.46168518066406,584400
2023-09-11,185.38999938964844,186.10000610351562,183.55999755859375,184.1699981689453,182.00706481933594,388700
2023-09-12,183.77999877929688,184.63999938964844,181.3000030517578,181.91000366210938,179.77362060546875,709200
2023-09-13,182.00999450683594,193.0500030517578,181.14999389648438,189.35000610351562,187.12625122070312,1827300
2023-09-14,191.17999267578125,193.3699951171875,189.61000061035156,190.67999267578125,188.44061279296875,1507400
2023-09-15,191.0800018310547,195.0500030517578,190.0500030517578,194.36000061035156,192.07740783691406,1539900
2023-09-18,194.63999938964844,196.86000061035156,194.19000244140625,194.33999633789062,192.05763244628906,880900
2023-09-19,194.1999969482422,194.72000122070312,191.0399932861328,192.4499969482422,190.1898193359375,633700
2023-09-20,193.74000549316406,196.13999938964844,193.3300018310547,193.67999267578125,191.40538024902344,956000
2023-09-21,192.88999938964844,193.02999877929688,189.17999267578125,189.9600067138672,187.72906494140625,820300
2023-09-22,190.36000061035156,192.30999755859375,189.00999450683594,189.49000549316406,187.26461791992188,509100
2023-09-25,189.02999877929688,192.02999877929688,189.02999877929688,190.4600067138672,188.22323608398438,440900
2023-09-26,189.49000549316406,190.08999633789062,186.24000549316406,186.47999572753906,184.28994750976562,604800
2023-09-27,188.00999450683594,189.9600067138672,183.61000061035156,185.58999633789062,183.410400390625,781600
2023-09-28,185.77000427246094,187.36000061035156,184.02000427246094,186.3800048828125,184.19113159179688,744600
2023-09-29,187.86000061035156,189.2899932861328,186.5800018310547,188.52000427246094,186.3059844970703,692100
2023-10-02,187.35000610351562,188.1300048828125,184.24000549316406,187.4199981689453,185.21890258789062,834400
2023-10-03,185.86000061035156,187.91000366210938,185.16000366210938,186.80999755859375,184.61605834960938,781400
2023-10-04,187.42999267578125,187.9600067138672,183.9499969482422,187.32000732421875,185.12010192871094,576500
2023-10-05,186.97000122070312,187.6300048828125,183.97000122070312,186.10000610351562,183.9144287109375,379700
2023-10-06,185.25,188.36000061035156,184.80999755859375,186.6300048828125,184.4381866455078,305700
2023-10-09,185.6300048828125,190.3699951171875,185.33999633789062,189.75,187.52154541015625,313200
2023-10-10,189.75,192.52999877929688,189.08999633789062,191.52999877929688,189.2806396484375,344600
2023-10-11,192.14999389648438,193.88999938964844,191.5800018310547,193.75999450683594,191.48443603515625,675600
